username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
mariem.nourddine,Mariem.Nourddine,Singer,439000,699,1200,0,0,0,37,Macro,439000,10,0.0015922514982881588,1
afefjnifen,Afefjnifen,Fashion,282100,50,1700,0,0,0,37,Macro,282100,2,0.0001772414844328804,1
nahdi.dali.officiel,Nahdi.Dali.Officiel,Actors,431300,460,3400,0,0,0,37,Macro,431300,0,0.0010665405366553752,1
mariemsabbagh,Mariemsabbagh,Lifestyle,323200,1000,1600,0,0,0,37,Macro,323200,5,0.0030940498327666067,1
nejibbelkadhi,Nejibbelkadhi,Actors,261700,1300,1100,0,0,0,37,Macro,261700,0,0.0049675010794761965,1
najla_chtourou,Najla Chtourou,Lifestyle,123300,4800,969,23200,0,0,37,Macro,146500,5,0.038929124662411496,2
nassimraissiofficial,Nassimraissiofficial,Singer,393900,1200,506,21,0,0,37,Macro,393921,10,0.0030464507579315613,2
inessbousselmi,Inessbousselmi,Food,161800,1000,1100,0,0,0,37,Macro,161800,3,0.006180431517728568,1
ksourimaya,Ksourimaya,TV Host,161500,1800,1500,0,0,0,37,Macro,161500,12,0.011145441823889636,1
khemissi_imen,Khemissi Imen,Lifestyle,119700,2200,631,2500,0,0,37,Macro,122200,5,0.01837912799391818,2
khawlaboukhris,Khawlaboukhris,Lifestyle,179100,1500,867,50,0,0,37,Macro,179150,5,0.008375162617740827,2
khawla_in_the_kitchen_,Khawla In The Kitchen,Food,181500,1000,606,1100,0,0,37,Macro,182600,3,0.005509611517291916,2
itsfarahyasmine,Itsfarahyasmine,Travel,266200,4100,869,12,0,0,37,Macro,266212,13,0.015401895560121863,2
kenzafourati,Kenzafourati,Modeling,127700,4800,1700,0,0,0,37,Macro,127700,7,0.03758780275800503,1
kenzaachiha,Kenzaachiha,Modeling,240900,2100,622,2600,0,0,37,Macro,243500,7,0.008717273900897049,2
rabaa_essefi_officiel_,Rabaa Essefi Officiel,Actors,341400,1300,713,95600,0,0,37,Macro,437000,0,0.0038078388756916355,2
ibaa_hamli,Ibaa Hamli,Actors,399200,3100,1000,253,0,0,37,Macro,399453,0,0.007765511609439856,2
sabrinetrifi,Sabrinetrifi,Lifestyle,112300,3100,802,6600,0,0,37,Macro,118900,5,0.027604384644838425,2
sayayassine,Sayayassine,Lifestyle,335000,450,574,161,0,0,37,Macro,335161,5,0.0013432795722997841,2
tunisian.kitchen,Tunisian.Kitchen,Food,310500,1000,2400,0,0,0,37,Macro,310500,3,0.00322060154395638,1
rochdi_belgasmi,Rochdi Belgasmi,Lifestyle,118000,348,573,58600,0,0,37,Macro,176600,5,0.0029491275497665276,2
asmamek,Asmamek,Lifestyle,361900,4400,680,6900,0,0,37,Macro,368800,5,0.012158021116272129,2
aymenlessigue,Aymenlessigue,Singer,98600,1200,926,5900,0,0,37,Macro,104500,10,0.012170261964888794,2
safwenboufarwa,Safwenboufarwa,Food,306900,992,675,129,0,0,37,Macro,307029,3,0.0032323127001867053,2
artmastaofficiel,Artmastaofficiel,Rap,448300,152,888,238,0,0,37,Macro,448538,9,0.00033905790975259924,2
raouf_maher,Raouf Maher,Singer,211200,69,909,546,0,0,37,Macro,211746,10,0.0003267029985653477,2
cherifa_naffeti,Cherifa Naffeti,Modeling,114400,627,1000,1300,0,0,37,Macro,115700,7,0.0054807213223660636,2
diotisdiaries,Diotisdiaries,Lifestyle,315300,1700,739,9000,0,0,37,Macro,324300,5,0.005391673353398816,2
sanabencheikhlarbi,Sanabencheikhlarbi,Actors,368000,990,823,1100,0,0,37,Macro,369100,0,0.002690210080950867,2
