username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded
hassendosss,Hassendosss,Singer,105500,136,717,0,0,0,32,Macro,105500,11
rimbougamra,Rimbougamra,TV Host,290400,409,400,734,0,0,32,Macro,291134,13
mouraderouge,Mouraderouge,Video Blogger,413200,1300,397,13200,0,0,32,Macro,426400,15
hachemgaddouch,Hachemgaddouch,Video Blogger,305000,766,405,38600,0,0,32,Macro,343600,15
sandra_chihaoui,Sandra Chihaoui,TV Host,410300,324,102,1,0,0,32,Macro,410301,13
djtora_official,Djtora Official,Singer,306200,190,452,2100,0,0,32,Macro,308300,11
horcujet,Horcujet,Video Blogger,348000,1500,186,19,0,0,32,Macro,348019,15
marwa.benali.712,Marwa.Benali.712,Food,161900,2300,784,0,0,0,32,Macro,161900,3
ichraqqamar,Ichraqqamar,Singer,343300,463,161,13700,0,0,32,Macro,357000,11
iheb_msekni_10,Iheb Msekni 10,Sport,155000,244,108,1,0,0,32,Macro,155001,12
cuisine__imen,Cuisine  Imen,Food,148800,605,352,123,0,0,32,Macro,148923,3
cherifouali,Cherifouali,Photographer,138800,3200,442,24100,0,0,32,Macro,162900,9
rahma_mdallaa,Rahma Mdallaa,Lifestyle,383900,7400,254,7800,0,0,32,Macro,391700,6
steevy_aymen,Steevy Aymen,Makeup Artist,341600,995,424,11,0,0,32,Macro,341611,7
amin_hajri,Amin Hajri,Fashion,36200,1400,1300,0,0,0,31,Micro,36200,2
nejibbelhassen,Nejibbelhassen,Actors,69300,967,530,29400,0,0,31,Micro,98700,0
litayem_zied,Litayem Zied,Actors,12900,1100,1200,0,0,0,31,Micro,12900,0
jnaynaa,Jnaynaa,Lifestyle,83800,5200,2000,0,0,0,31,Micro,83800,6
ankh_nh,Ankh Nh,Lifestyle,47100,1800,1600,0,0,0,31,Micro,47100,6
tunisianyogini,Tunisianyogini,Sport,20100,3100,1100,0,0,0,31,Micro,20100,12
chekra_rammeh,Chekra Rammeh,Actors,83400,496,573,442,0,0,31,Micro,83842,0
dalinsomnia,Dalinsomnia,Travel,38600,997,1800,0,0,0,31,Micro,38600,14
sonytta,Sonytta,Food,98700,7400,2700,0,0,0,31,Micro,98700,3
sbyalma,Sbyalma,Fashion,40300,1600,1200,0,0,0,31,Micro,40300,2
drfaresbelhassen,Drfaresbelhassen,Doctor,46400,2500,632,7800,0,0,31,Micro,54200,1
mariam_al_ferjani,Mariam Al Ferjani,Actors,79800,1700,1600,0,0,0,31,Micro,79800,0
salma_jardak,Salma Jardak,Modeling,94100,2700,904,345,0,0,31,Micro,94445,8
olfa_hammouda,Olfa Hammouda,Makeup Artist,51900,1800,1200,0,0,0,31,Micro,51900,7
norchene1,Norchene1,Modeling,42500,1400,795,89,0,0,31,Micro,42589,8
jessnarjess,Jessnarjess,Fashion,73900,4300,3900,0,0,0,31,Micro,73900,2
hitunis,Hitunis,Singer,14700,2900,1700,0,0,0,31,Micro,14700,11
olfakaabi,Olfakaabi,Lifestyle,204,1100,1700,10,0,0,30,Nano,214,6
awesmessaoudi,Awesmessaoudi,Actors,215,1800,1900,99,0,0,30,Nano,314,0
afefgharbi,Afefgharbi,TV Host,412,7300,1200,105,0,0,30,Nano,517,13
cuisine_a_deux,Cuisine A Deux,Food,281,958,1200,334,0,0,30,Nano,615,3
teyssir_ksouri,Teyssir Ksouri,Food,244,4000,2700,39,0,0,30,Nano,283,3
manelabdelkoui,Manelabdelkoui,Actors,199,282,1300,106,0,0,30,Nano,305,0
sawsen_gmati,Sawsen Gmati,Makeup Artist,450,1900,1300,21,0,0,30,Nano,471,7
mayssakasbi,Mayssakasbi,Lifestyle,187,180,2600,13,0,0,30,Nano,200,6
aminematue,Aminematue,Video Blogger,0,0,0,0,1960000,238771825,29,Mega,1960000,15
nessmatv,Nessma Tv,Lifestyle,0,0,0,0,3020000,1221368514,29,Mega,3020000,6
alitgtv,Ali Tgtv | علي تي جي تي في,Video Blogger,0,0,0,0,4710000,889172540,29,Mega,4710000,15
bekisworld,Beki’S World | عالم بيكي,Video Blogger,0,0,0,0,1340000,85594675,29,Mega,1340000,15
ahmedriabi,Ahmed Riabi,Video Blogger,0,0,0,0,1210000,142308432,29,Mega,1210000,15
thisizbalti,Thisizbalti,Rap,533100,3300,11,0,0,0,28,Macro,533100,10
ferjanisassioff,Ferjanisassioff,Sport,974600,266,73,0,0,0,28,Macro,974600,12
malek.ben.saad,Malek.Ben.Saad,Humor,321800,1100,48,131000,0,0,27,Macro,452800,5
med_ali_tounsi,Med Ali Tounsi,Humor,359200,269,412,0,0,0,27,Macro,359200,5
50mejri,50Mejri,Sport,131100,1000,320,0,0,0,27,Macro,131100,12
lina_ben_ali_officiel,Lina Ben Ali Officiel,Singer,99100,5200,52,26500,0,0,27,Macro,125600,11
haithemjouini_officiel,Haithemjouini Officiel,Sport,112000,981,215,0,0,0,27,Macro,112000,12
achref_ouerghemmi_photographe,Achref Ouerghemmi Photographe,Photographer,243000,7400,1,2100,0,0,27,Macro,245100,9
azerzaouali,Azerzaouali,Actors,184200,1100,315,0,0,0,27,Macro,184200,0
ymeriah,Ymeriah,Sport,166300,1,47,45,0,0,27,Macro,166345,12
yasminenajar,Yasminenajar,Lifestyle,109500,1100,157,0,0,0,27,Macro,109500,6
tunisianofficiel,Tunisianofficiel,Singer,106500,283,28,7600,0,0,27,Macro,114100,11
assewrbenmohamed,Assewrbenmohamed,Singer,139300,873,139,0,0,0,27,Macro,139300,11
soniadahmani,Soniadahmani,TV Host,343100,1200,403,0,0,0,27,Macro,343100,13
diwasweetness,Diwasweetness,Food,111600,692,179,0,0,0,27,Macro,111600,3
lamine_belkhodja,Lamine Belkhodja,Actors,108500,878,17,1100,0,0,27,Macro,109600,0
salma.btk,Salma.Btk,Lifestyle,88200,2000,27,22300,0,0,27,Macro,110500,6
areej_ay,Areej Ay,Lifestyle,143500,412,190,0,0,0,27,Macro,143500,6
hela_melki_official,Hela Melki Official,Singer,126800,390,492,0,0,0,27,Macro,126800,11
joelamrikani,Joelamrikani,TV Host,340300,1900,104,0,0,0,27,Macro,340300,13
rayenyoussefofc,Rayenyoussefofc,Singer,164400,1200,1,235,0,0,27,Macro,164635,11
nour_gn,Nour Gn,Lifestyle,110200,1700,435,0,0,0,27,Macro,110200,6
amal_hachana,Amal Hachana,Lifestyle,101600,450,8,64500,0,0,27,Macro,166100,6
raouajemli,Raouajemli,Modeling,121100,746,140,0,0,0,27,Macro,121100,8
raed.fadaa.officiel,Raed.Fadaa.Officiel,Sport,415400,1600,103,0,0,0,27,Macro,415400,12
rami_jeridi_officiel_,Rami Jeridi Officiel,Sport,131000,617,284,0,0,0,27,Macro,131000,12
mohamed_jebali_officiel,Mohamed Jebali Officiel,Singer,41300,572,797,0,0,0,26,Micro,41300,11
rabebhosny,Rabebhosny,Singer,64400,783,223,1100,0,0,26,Micro,65500,11
wael_ben_abdallah,Wael Ben Abdallah,Singer,66900,407,279,16400,0,0,26,Micro,83300,11
aliastasia,Aliastasia,Lifestyle,14800,105,535,0,0,0,26,Micro,14800,6
